player_name,team,conf,GP,Min_per,dunksmade,stops,pts
Jean-Paul Olukemi,Oklahoma St.,B12,34,58.6,12,144131,11.0882
Sam Ryan,Houston Baptist,GWC,5,2.2,0,4.06312,0.8
Malcolm Lemmons,Niagara,MAAC,31,55.3,0,120233,5.9032
Kevin McGaughey,James Madison,CAA,5,0.8,0,2.38188,1.2
Fran Dougherty,Penn,Ivy,27,31.8,0,57.8773,2.5185
Brandon Dawson,Kennesaw St.,ASun,19,10.5,0,15851,2.5789
Dylan Spencer,Auburn,SEC,1,0.1,,0.08627,0
Milos Trivic,St. Francis NY,NEC,25,11.2,0,27.1159,1.16
Greg Nero,Fairfield,MAAC,8,12,2,30.6147,5.5
Lenzelle Smith Jr.,Ohio St.,B10,20,6.1,1,17.1463,1.2
Dau Jok,Penn,Ivy,12,3,0,4.10919,0.1667
Kevin Thomas,Tulane,CUSA,26,25.1,14,44008,2.2692
Brady Hadden,Tulane,CUSA,5,1,0,1.0957,0.6
Michael Celestin,Southern,SWAC,6,9,0,15.6297,3.8333
John Tatum,Southern,SWAC,5,3.9,0,5.13325,1.2
Neal Webb,Southern,SWAC,24,32.8,1,57.3159,3.3333
Patrick Coleman,Southern,SWAC,21,19.5,0,29.7683,1.8095
Ray Ray Chase,Southern,SWAC,25,31.1,0,63.3209,2.68
Lloyd Hickinson,Southern,SWAC,8,7.3,0,11.6006,1.75
Michael Messer,SIU Edwardsville,ind,25,62.5,0,97.3188,8.24
Alex Schrempf,UCLA,P10,3,0.1,,0.176708,0
Wil Carter,San Jose St.,WAC,32,75.2,21,182478,10
Paul Carter,Illinois Chicago,Horz,30,80.8,11,187192,14.4
Andre Prince,James Madison,CAA,4,1.1,0,1.77024,0.5
Julius Francis,Winthrop,BSth,12,6.6,0,9.85291,0.75
Nick Mason,Idaho St.,BSky,19,13.4,0,18.7594,1.0526
Jarod Jahns,Texas A&M,B12,5,0.5,,0.606513,0
Tony Chennault,Wake Forest,ACC,15,20.5,0,42.13,4.4667
Marvell Waithe,Arkansas,SEC,23,20.9,6,57.8754,3.5652
Kevin Canevari,Mercer,ASun,29,11.5,0,23739,0.5517
Evan Roquemore,Santa Clara,WCC,36,79.1,1,186917,12
Matt Tomaszewski,Syracuse,BE,9,1.5,0,3.07035,1.3333
Julian Clarke,Santa Clara,WCC,3,0.3,0,0.465202,0
Chris Clement,Princeton,Ivy,7,1.4,0,3.96523,0.8571
Durann Neil,Longwood,ind,26,74.7,0,118497,8.3846
John McArthur,Santa Clara,WCC,33,16.8,0,37.8968,1303
Bud Thomas,Mercer,ASun,32,46.7,4,110933,4.25
Scott Bamforth,Weber St.,BSky,28,70.5,0,110169,12.2143
Eric Ferguson,Georgia Southern,SC,28,68.3,32,153.84,11.4643
Devon Collier,Oregon St.,P10,30,48.1,11,118826,6.9667
Joe Ragland,Wichita St.,MVC,36,51.6,0,121.49,7.1111
Brandon Gibson,Louisiana Tech,WAC,14,29.8,1,77.6899,9.4286
Tanner Kerry,Pepperdine,WCC,9,2.4,0,3.87811,0.2222
Matt Heneveld,Michigan St.,B10,4,0.5,0,0.653067,0
Taylor Trevisan,Saint Joseph's,A10,4,0.4,0,0.874921,1.25
Thomas Rogers,Virginia,ACC,6,0.6,0,0.735088,0
Jonathon Gac,Loyola Chicago,Horz,9,1.4,0,4.51751,1.4444
Chim Kadima,Loyola Chicago,Horz,23,14.3,1,26.2017,2.0435
Will Bell,Colorado St.,MWC,29,16.9,2,38.0875,2.3793
Louis Bell,Maryland Eastern Shore,MEAC,28,34.2,0,53436,3.9643
